Index, Network Condition Level, Bandwidth (Mbps), Latency (ms), Jitter (ms), Set PLR (%), Mean_Throughput (Mbps), Max_Throughput (Mbps), Mean_Latency (ms), Max_Latency (ms), Mean Jitter (ms), Max_Jitter(ms), Measured PLR, PSNR(dB), SSIM, Task Time (s), Success_Flag（0/1）
30,low,10,1000,200,3.0,0.60,1.49,830.10,1025.33,238.95,1293.55,3.1%,11.550,0.700,N/A,0
31,low,10,1000,200,3.0,0.57,1.47,842.00,1058.76,249.12,1330.41,3.3%,10.884,0.683,N/A,0
32,low,10,1000,200,3.0,0.64,1.58,798.22,969.44,220.12,1194.51,3.0%,12.653,0.743,368,1
33,low,10,1000,200,3.0,0.59,1.50,833.44,1036.70,240.22,1305.34,3.2%,11.420,0.693,N/A,0
34,low,10,1000,200,3.0,0.55,1.46,847.55,1067.89,252.99,1345.98,3.4%,10.701,0.680,N/A,0
35,low,10,1000,200,3.0,0.62,1.56,804.88,975.88,222.55,1212.88,3.1%,12.397,0.737,389,1
36,low,10,1000,200,3.0,0.56,1.45,845.02,1070.45,253.47,1350.34,3.3%,10.984,0.687,N/A,0
37,low,10,1000,200,3.0,0.62,1.52,829.19,1021.67,237.11,1282.44,3.2%,11.613,0.705,N/A,0
38,low,10,1000,200,3.0,0.65,1.61,796.55,964.78,218.44,1181.30,3.0%,12.877,0.746,378,1
39,low,10,1000,200,3.0,0.55,1.44,851.10,1078.33,257.01,1368.80,3.3%,10.562,0.670,N/A,0
40,low,10,1000,200,3.0,0.58,1.49,839.55,1041.45,245.10,1322.71,3.2%,11.214,0.704,N/A,0
41,low,10,1000,200,3.0,0.60,1.55,812.44,986.10,227.88,1225.91,3.1%,12.154,0.731,405,1
42,low,10,1000,200,3.0,0.59,1.51,834.08,1037.99,241.45,1308.62,3.1%,11.502,0.703,N/A,0
43,low,10,1000,200,3.0,0.53,1.42,850.55,1074.44,255.50,1364.55,3.4%,10.325,0.668,N/A,0
44,low,10,1000,200,3.0,0.63,1.57,805.96,977.00,224.17,1214.11,2.9%,12.509,0.740,372,1
45,low,10,1000,200,3.0,0.57,1.48,841.77,1054.56,248.06,1332.19,3.2%,11.150,0.692,N/A,0
46,low,10,1000,200,3.0,0.54,1.43,846.90,1063.77,251.25,1341.77,3.3%,10.847,0.679,N/A,0
47,low,10,1000,200,3.0,0.66,1.62,791.80,954.45,215.71,1173.44,2.8%,13.102,0.753,359,1
48,low,10,1000,200,3.0,0.55,1.47,844.33,1059.29,249.94,1336.91,3.3%,10.998,0.693,N/A,0
49,low,10,1000,200,3.0,0.58,1.50,837.90,1043.10,243.12,1318.34,3.2%,11.289,0.702,N/A,0
50,low,10,1000,200,3.0,0.65,1.59,799.99,968.05,220.88,1191.02,3.1%,12.780,0.747,374,1
51,low,10,1000,200,3.0,0.61,1.53,822.44,1015.23,234.77,1283.09,3.2%,11.673,0.709,N/A,0
52,low,10,1000,200,3.0,0.57,1.49,840.04,1051.60,247.34,1329.65,3.1%,11.072,0.686,N/A,0
53,low,10,1000,200,3.0,0.62,1.56,808.31,983.49,226.05,1221.14,3.0%,12.337,0.734,396,1
54,low,10,1000,200,3.0,0.55,1.46,848.76,1068.22,253.02,1347.09,3.4%,10.884,0.681,N/A,0
55,low,10,1000,200,3.0,0.59,1.51,832.88,1034.47,239.87,1297.66,3.3%,11.345,0.697,N/A,0
56,low,10,1000,200,3.0,0.63,1.58,802.88,971.66,223.79,1201.87,2.9%,12.451,0.738,385,1
57,low,10,1000,200,3.0,0.58,1.48,841.30,1053.20,246.28,1325.40,3.2%,11.087,0.692,N/A,0
58,low,10,1000,200,3.0,0.53,1.45,850.45,1075.33,255.70,1365.15,3.4%,10.273,0.666,N/A,0
59,low,10,1000,200,3.0,0.64,1.60,797.44,966.11,219.41,1188.70,3.0%,12.672,0.742,372,1
60,low,10,1000,200,3.0,0.60,1.50,824.11,1018.34,233.57,1279.00,3.2%,11.512,0.703,N/A,0
61,low,10,1000,200,3.0,0.55,1.47,846.67,1062.15,250.66,1341.10,3.3%,10.999,0.689,N/A,0
62,low,10,1000,200,3.0,0.61,1.55,810.22,987.55,227.41,1226.34,3.1%,12.275,0.733,399,1
63,low,10,1000,200,3.0,0.58,1.49,834.99,1040.78,239.24,1304.18,3.2%,11.263,0.696,N/A,0
64,low,10,1000,200,3.0,0.56,1.46,843.77,1055.12,247.88,1334.44,3.3%,10.955,0.687,N/A,0
65,low,10,1000,200,3.0,0.63,1.58,801.55,969.99,222.02,1200.45,2.9%,12.498,0.739,386,1
66,low,10,1000,200,3.0,0.57,1.48,838.02,1044.88,244.56,1317.10,3.2%,11.154,0.694,N/A,0
67,low,10,1000,200,3.0,0.54,1.46,847.90,1064.70,251.44,1343.78,3.4%,10.602,0.672,N/A,0
68,low,10,1000,200,3.0,0.66,1.61,793.88,957.44,216.44,1176.23,2.8%,13.033,0.751,360,1
69,low,10,1000,200,3.0,0.56,1.47,842.13,1052.65,247.29,1332.77,3.3%,10.970,0.689,N/A,0
70,low,10,1000,200,3.0,0.59,1.50,833.33,1035.88,238.22,1296.45,3.2%,11.389,0.698,N/A,0
71,low,10,1000,200,3.0,0.64,1.59,798.45,965.44,219.45,1189.90,3.0%,12.668,0.742,377,1
72,low,10,1000,200,3.0,0.60,1.52,826.99,1019.55,235.44,1284.77,3.1%,11.600,0.704,N/A,0
73,low,10,1000,200,3.0,0.55,1.46,848.12,1065.88,252.11,1345.20,3.4%,10.888,0.682,N/A,0
74,low,10,1000,200,3.0,0.62,1.57,806.00,976.00,225.33,1217.77,3.1%,12.341,0.735,401,1
75,low,10,1000,200,3.0,0.57,1.49,840.11,1051.78,246.77,1326.18,3.2%,11.123,0.690,N/A,0
76,low,10,1000,200,3.0,0.53,1.43,851.44,1076.99,255.99,1366.43,3.3%,10.442,0.671,N/A,0
77,low,10,1000,200,3.0,0.65,1.60,795.78,964.11,218.66,1183.24,3.0%,12.773,0.746,370,1
78,low,10,1000,200,3.0,0.56,1.47,845.66,1060.34,249.88,1338.80,3.2%,10.999,0.691,N/A,0
79,low,10,1000,200,3.0,0.58,1.49,836.77,1042.10,243.55,1318.34,3.1%,11.245,0.699,N/A,0
80,low,10,1000,200,3.0,0.61,1.54,808.88,984.77,226.93,1223.55,3.2%,12.289,0.733,394,1
81,low,10,1000,200,3.0,0.59,1.51,831.12,1036.44,239.21,1298.78,3.2%,11.478,0.703,N/A,0
82,low,10,1000,200,3.0,0.54,1.45,849.35,1069.77,253.62,1352.90,3.3%,10.738,0.675,N/A,0
83,low,10,1000,200,3.0,0.57,1.48,835.45,1040.22,242.11,1307.40,3.4%,11.061,0.687,N/A,0
84,low,10,1000,200,3.0,0.52,1.42,854.88,1080.11,258.44,1374.54,3.3%,9.985,0.660,N/A,0
85,low,10,1000,200,3.0,0.60,1.51,828.55,1024.55,237.06,1285.77,3.1%,11.611,0.706,N/A,0
86,low,10,1000,200,3.0,0.55,1.46,846.33,1061.88,250.01,1340.22,3.2%,10.845,0.682,N/A,0
87,low,10,1000,200,3.0,0.57,1.48,841.12,1049.77,246.55,1328.44,3.2%,11.012,0.691,N/A,0
88,low,10,1000,200,3.0,0.59,1.50,833.11,1038.55,239.77,1297.67,3.1%,11.376,0.701,N/A,0
89,low,10,1000,200,3.0,0.54,1.44,850.44,1073.33,255.12,1361.40,3.3%,10.574,0.674,N/A,0
90,low,10,1000,200,3.0,0.56,1.47,842.11,1053.55,247.66,1329.45,3.2%,10.998,0.690,N/A,0
91,low,10,1000,200,3.0,0.53,1.45,853.10,1078.44,256.77,1368.78,3.4%,10.332,0.669,N/A,0
92,low,10,1000,200,3.0,0.58,1.49,836.77,1044.53,243.44,1317.60,3.1%,11.190,0.695,N/A,0
93,low,10,1000,200,3.0,0.60,1.52,826.22,1018.77,234.44,1279.11,3.2%,11.492,0.704,N/A,0
94,low,10,1000,200,3.0,0.55,1.46,847.66,1064.22,251.23,1343.45,3.3%,10.740,0.678,N/A,0
95,low,10,1000,200,3.0,0.57,1.48,839.55,1046.90,245.10,1320.77,3.2%,11.054,0.689,N/A,0
96,low,10,1000,200,3.0,0.52,1.43,856.77,1082.88,258.77,1375.65,3.4%,9.975,0.659,N/A,0
97,low,10,1000,200,3.0,0.55,1.45,848.33,1067.22,251.44,1348.33,3.3%,10.552,0.676,N/A,0
98,low,10,1000,200,3.0,0.59,1.50,833.11,1038.55,239.77,1297.67,3.1%,11.376,0.701,N/A,0
99,low,10,1000,200,3.0,0.61,1.52,820.55,1015.77,232.44,1273.88,3.2%,11.664,0.708,N/A,0
100,low,10,1000,200,3.0,0.54,1.44,851.44,1075.12,256.44,1365.40,3.3%,10.498,0.672,N/A,0
101,medium,100,400,50,1.0,0.71,1.61,352.49,848.75,24.42,46.64,1.2%,24.988,0.948,225,1
102,medium,100,400,50,1.0,0.71,1.68,354.5,859.3,24.23,46.46,1.0%,24.773,0.951,207,1
103,medium,100,400,50,1.0,0.66,1.55,361.4,879.1,24.08,46.83,1.3%,24.366,0.941,N/A,0
104,medium,100,400,50,1.0,0.75,1.67,355.0,854.4,24.08,47.36,1.1%,25.058,0.947,187,1
105,medium,100,400,50,1.0,0.76,1.66,357.6,833.3,24.84,45.82,1.0%,25.173,0.949,179,1
106,medium,100,400,50,1.0,0.71,1.61,356.9,845.8,24.69,46.64,1.1%,25.008,0.946,210,1
107,medium,100,400,50,1.0,0.71,1.67,356.7,857.3,24.59,46.22,1.1%,24.719,0.952,232,1
108,medium,100,400,50,1.0,0.68,1.57,360.9,872.4,24.95,47.60,1.3%,24.589,0.943,N/A,0
109,medium,100,400,50,1.0,0.75,1.69,348.9,835.9,23.96,46.00,0.9%,25.341,0.952,190,1
110,medium,100,400,50,1.0,0.72,1.64,350.1,838.7,24.02,46.18,1.0%,24.998,0.949,215,1
111,medium,100,400,50,1.0,0.70,1.59,358.2,851.6,24.63,46.67,1.2%,24.923,0.946,183,1
112,medium,100,400,50,1.0,0.67,1.56,359.8,873.1,25.08,47.94,1.4%,24.477,0.942,N/A,0
113,medium,100,400,50,1.0,0.74,1.67,356.0,854.3,25.50,47.62,1.1%,25.181,0.950,222,1
114,medium,100,400,50,1.0,0.72,1.63,351.2,843.1,24.31,46.27,1.0%,24.931,0.947,199,1
115,medium,100,400,50,1.0,0.68,1.56,352.5,844.9,23.94,45.71,1.3%,24.503,0.944,N/A,0
116,medium,100,400,50,1.0,0.66,1.55,361.2,878.5,24.99,47.25,1.4%,24.438,0.942,N/A,0
117,medium,100,400,50,1.0,0.73,1.66,348.6,833.9,24.14,46.07,0.9%,25.102,0.951,185,1
118,medium,100,400,50,1.0,0.75,1.71,356.1,855.9,25.38,47.74,1.1%,25.322,0.952,N/A,0
119,medium,100,400,50,1.0,0.72,1.63,351.8,841.6,24.44,46.35,1.0%,25.027,0.949,206,1
120,medium,100,400,50,1.0,0.69,1.58,350.2,838.1,23.77,45.55,1.3%,24.722,0.945,N/A,0
121,medium,100,400,50,1.0,0.71,1.60,347.5,830.9,23.54,45.29,1.0%,24.669,0.946,201,1
122,medium,100,400,50,1.0,0.70,1.59,357.1,850.2,24.65,46.75,1.0%,24.853,0.948,210,1
123,medium,100,400,50,1.0,0.74,1.67,349.8,836.2,24.20,46.06,1.2%,25.159,0.950,178,1
124,medium,100,400,50,1.0,0.67,1.57,360.1,872.8,25.28,47.91,1.4%,24.597,0.944,N/A,0
125,medium,100,400,50,1.0,0.73,1.65,352.6,846.4,24.64,46.59,1.1%,25.041,0.949,232,1
126,medium,100,400,50,1.0,0.72,1.64,351.0,842.5,24.34,46.20,1.0%,25.009,0.948,183,1
127,medium,100,400,50,1.0,0.69,1.59,354.0,849.1,24.76,46.71,1.1%,24.780,0.946,205,1
128,medium,100,400,50,1.0,0.68,1.56,360.4,861.5,25.31,47.98,1.3%,24.613,0.944,N/A,0
129,medium,100,400,50,1.0,0.75,1.69,348.3,833.4,23.80,45.85,1.0%,25.294,0.951,187,1
130,medium,100,400,50,1.0,0.71,1.60,349.6,835.8,24.02,46.01,1.1%,24.966,0.947,188,1
131,medium,100,400,50,1.0,0.73,1.66,355.5,852.6,24.98,47.63,1.1%,25.178,0.950,221,1
132,medium,100,400,50,1.0,0.66,1.55,359.1,873.4,25.06,47.42,1.4%,24.431,0.942,N/A,0
133,medium,100,400,50,1.0,0.71,1.61,352.8,845.2,24.46,46.53,1.0%,24.981,0.948,204,1
134,medium,100,400,50,1.0,0.72,1.63,350.7,840.9,24.33,46.10,1.1%,25.068,0.949,229,1
135,medium,100,400,50,1.0,0.69,1.59,349.2,837.2,23.55,45.48,0.9%,24.721,0.946,212,1
136,medium,100,400,50,1.0,0.67,1.56,361.0,874.2,25.18,47.77,1.3%,24.573,0.943,N/A,0
137,medium,100,400,50,1.0,0.75,1.69,347.8,833.0,23.87,45.78,1.0%,25.312,0.951,180,1
138,medium,100,400,50,1.0,0.71,1.61,353.5,848.0,24.72,46.67,1.0%,24.901,0.947,233,1
139,medium,100,400,50,1.0,0.72,1.64,351.5,842.9,24.44,46.28,1.2%,25.045,0.949,197,1
140,medium,100,400,50,1.0,0.68,1.57,360.5,864.9,25.21,48.05,1.4%,24.768,0.946,N/A,0
141,medium,100,400,50,1.0,0.74,1.66,350.4,838.5,24.11,45.99,1.0%,25.175,0.950,206,1
142,medium,100,400,50,1.0,0.73,1.65,348.9,834.6,24.03,45.92,0.9%,24.985,0.951,182,1
143,medium,100,400,50,1.0,0.69,1.60,352.2,845.7,24.54,46.62,1.1%,24.714,0.946,224,1
144,medium,100,400,50,1.0,0.68,1.56,359.1,861.2,25.11,47.75,1.3%,24.596,0.944,N/A,0
145,medium,100,400,50,1.0,0.71,1.62,349.7,836.1,23.92,45.79,1.0%,24.867,0.947,208,1
146,medium,100,400,50,1.0,0.74,1.67,354.7,851.8,25.33,47.67,1.0%,25.260,0.951,198,1
147,medium,100,400,50,1.0,0.70,1.59,351.1,841.7,24.40,46.40,1.2%,24.807,0.946,234,1
148,medium,100,400,50,1.0,0.67,1.57,360.3,862.2,25.18,47.88,1.3%,24.689,0.944,N/A,0
149,medium,100,400,50,1.0,0.73,1.66,348.1,833.5,23.82,45.68,1.0%,25.161,0.950,200,1
150,medium,100,400,50,1.0,0.75,1.70,356.2,853.8,25.44,47.82,1.0%,25.350,0.952,178,1
151,medium,100,400,50,1.0,0.71,1.62,352.0,845.1,24.57,46.60,1.0%,24.935,0.949,230,1
152,medium,100,400,50,1.0,0.67,1.56,359.8,872.4,25.11,47.90,1.3%,24.560,0.944,N/A,0
153,medium,100,400,50,1.0,0.72,1.64,350.9,841.3,24.35,46.25,1.1%,25.052,0.949,214,1
154,medium,100,400,50,1.0,0.70,1.60,349.0,836.9,23.71,45.53,0.9%,24.848,0.947,187,1
155,medium,100,400,50,1.0,0.74,1.68,355.3,852.7,25.21,47.63,1.1%,25.232,0.951,233,1
156,medium,100,400,50,1.0,0.66,1.55,360.1,873.5,25.26,47.86,1.4%,24.698,0.944,N/A,0
157,medium,100,400,50,1.0,0.71,1.61,353.9,847.0,24.59,46.68,1.0%,24.896,0.948,196,1
158,medium,100,400,50,1.0,0.73,1.66,349.4,835.4,24.10,46.08,1.0%,25.134,0.950,184,1
159,medium,100,400,50,1.0,0.70,1.59,350.5,838.8,24.15,46.25,1.1%,24.825,0.946,232,1
160,medium,100,400,50,1.0,0.68,1.56,360.5,863.1,25.45,47.99,1.3%,24.615,0.944,N/A,0
161,medium,100,400,50,1.0,0.74,1.68,348.2,833.4,23.85,45.86,1.1%,25.197,0.951,221,1
162,medium,100,400,50,1.0,0.71,1.61,352.6,846.0,24.47,46.61,1.0%,24.955,0.948,229,1
163,medium,100,400,50,1.0,0.70,1.60,349.3,837.1,23.83,45.60,1.1%,24.833,0.947,189,1
164,medium,100,400,50,1.0,0.69,1.58,359.2,859.0,25.05,47.71,1.3%,24.713,0.944,N/A,0
165,medium,100,400,50,1.0,0.73,1.65,349.1,834.3,23.96,45.96,1.0%,25.123,0.949,182,1
166,medium,100,400,50,1.0,0.75,1.70,356.4,854.4,25.31,47.81,1.1%,25.338,0.952,220,1
167,medium,100,400,50,1.0,0.71,1.62,351.2,842.6,24.30,46.29,1.0%,24.957,0.948,192,1
168,medium,100,400,50,1.0,0.67,1.55,358.2,859.1,25.12,47.54,1.3%,24.512,0.943,N/A,0
169,medium,100,400,50,1.0,0.72,1.64,349.9,836.5,24.17,46.16,1.0%,25.054,0.949,212,1
170,medium,100,400,50,1.0,0.70,1.60,350.8,839.1,24.20,46.19,1.1%,24.859,0.947,180,1
171,medium,100,400,50,1.0,0.74,1.67,355.1,852.0,25.19,47.67,1.0%,25.210,0.951,234,1
172,medium,100,400,50,1.0,0.68,1.57,361.1,864.1,25.46,48.19,1.4%,24.626,0.945,N/A,0
173,medium,100,400,50,1.0,0.71,1.62,353.4,848.1,24.61,46.66,1.0%,24.937,0.948,196,1
174,medium,100,400,50,1.0,0.73,1.67,350.0,836.9,24.13,46.08,1.2%,25.148,0.950,227,1
175,medium,100,400,50,1.0,0.70,1.60,350.4,838.5,24.30,46.32,1.0%,24.831,0.946,208,1
176,medium,100,400,50,1.0,0.68,1.57,358.8,860.0,25.07,47.65,1.3%,24.719,0.944,N/A,0
177,medium,100,400,50,1.0,0.75,1.69,347.7,833.0,23.80,45.78,1.0%,25.299,0.951,202,1
178,medium,100,400,50,1.0,0.72,1.64,352.9,845.5,24.53,46.52,1.0%,25.049,0.949,178,1
179,medium,100,400,50,1.0,0.71,1.61,349.2,836.8,24.01,46.01,1.2%,24.975,0.948,218,1
180,medium,100,400,50,1.0,0.68,1.56,360.3,862.0,25.27,47.86,1.3%,24.618,0.945,N/A,0
181,medium,100,400,50,1.0,0.73,1.66,349.0,835.0,23.92,45.97,1.0%,25.127,0.949,203,1
182,medium,100,400,50,1.0,0.75,1.71,356.6,855.0,25.43,47.83,1.1%,25.344,0.952,192,1
183,medium,100,400,50,1.0,0.71,1.62,352.3,846.6,24.47,46.55,1.1%,24.924,0.948,224,1
184,medium,100,400,50,1.0,0.69,1.59,359.2,859.2,25.06,47.67,1.2%,24.708,0.944,N/A,0
185,medium,100,400,50,1.0,0.71,1.61,348.7,834.0,23.82,45.70,1.0%,24.873,0.947,200,1
186,medium,100,400,50,1.0,0.72,1.63,351.7,842.0,24.28,46.24,1.0%,25.018,0.949,207,1
187,medium,100,400,50,1.0,0.70,1.59,350.6,839.5,24.19,46.16,1.1%,24.836,0.947,180,1
188,medium,100,400,50,1.0,0.67,1.57,358.7,860.0,25.02,47.74,1.4%,24.651,0.945,N/A,0
189,medium,100,400,50,1.0,0.74,1.68,347.9,833.6,23.79,45.75,1.0%,25.203,0.951,210,1
190,medium,100,400,50,1.0,0.71,1.61,353.1,847.4,24.63,46.65,1.0%,24.902,0.948,231,1
191,medium,100,400,50,1.0,0.73,1.65,349.5,836.5,24.12,46.12,1.1%,25.130,0.950,222,1
192,medium,100,400,50,1.0,0.68,1.57,360.5,863.3,25.41,48.10,1.3%,24.821,0.946,N/A,0
193,medium,100,400,50,1.0,0.72,1.64,350.3,838.8,24.24,46.22,1.2%,25.044,0.949,186,1
194,medium,100,400,50,1.0,0.75,1.69,355.7,853.1,25.29,47.71,1.1%,25.319,0.952,228,1
195,medium,100,400,50,1.0,0.71,1.62,351.4,843.5,24.39,46.41,1.0%,24.947,0.948,N/A,0
196,medium,100,400,50,1.0,0.67,1.56,359.6,872.8,25.05,47.79,1.3%,24.732,0.945,N/A,0
197,medium,100,400,50,1.0,0.74,1.68,349.6,835.8,23.97,46.04,1.0%,25.199,0.951,234,1
198,medium,100,400,50,1.0,0.70,1.59,350.0,837.5,24.08,46.08,1.0%,24.869,0.947,191,1
199,medium,100,400,50,1.0,0.73,1.66,355.2,852.2,25.24,47.60,1.4%,25.201,0.951,225,1
200,medium,100,400,50,1.0,0.68,1.57,360.6,864.0,25.47,48.20,1.3%,24.620,0.945,N/A,0
201,high,1000,100,25,0.1,0.93,1.74,77.02,482.93,22.38,50.58,0.1%,24.130,0.932,122,1
202,high,1000,100,25,0.1,0.87,1.52,78.02,480.47,24.01,52.52,0.1%,24.123,0.926,81,1
203,high,1000,100,25,0.1,0.98,1.70,76.23,467.34,20.51,49.33,0.1%,23.950,0.927,125,1
204,high,1000,100,25,0.1,0.95,1.77,79.30,480.75,25.81,52.70,0.1%,25.074,0.932,127,1
205,high,1000,100,25,0.1,0.95,1.75,72.46,461.58,21.03,46.43,0.1%,23.253,0.926,127,1
206,high,1000,100,25,0.1,0.88,1.56,78.70,486.77,23.78,49.14,0.1%,24.335,0.925,140,1
207,high,1000,100,25,0.1,0.91,1.73,78.40,480.68,23.79,53.00,0.1%,23.573,0.921,121,1
208,high,1000,100,25,0.1,0.92,1.58,81.13,483.82,24.03,50.09,0.1%,25.212,0.933,99,1
209,high,1000,100,25,0.1,0.90,1.57,77.61,468.12,23.09,52.58,0.1%,23.548,0.940,146,1
210,high,1000,100,25,0.1,0.93,1.72,80.61,466.72,20.12,48.52,0.1%,23.962,0.932,140,1
211,high,1000,100,25,0.1,0.94,1.78,80.61,461.07,24.05,52.46,0.1%,23.667,0.933,95,1
212,high,1000,100,25,0.1,0.90,1.56,72.03,480.91,24.04,53.90,0.1%,24.269,0.922,119,1
213,high,1000,100,25,0.1,0.99,1.78,73.99,468.95,20.13,49.90,0.1%,25.296,0.932,143,1
214,high,1000,100,25,0.1,0.85,1.60,80.79,494.06,21.15,46.44,0.1%,25.367,0.922,143,1
215,high,1000,100,25,0.1,0.99,1.88,77.33,462.36,23.62,53.35,0.2%,24.319,0.932,N/A,0
216,high,1000,100,25,0.1,0.86,1.55,73.50,482.37,24.14,51.13,0.1%,24.720,0.931,141,1
217,high,1000,100,25,0.1,0.90,1.70,75.96,478.49,21.56,46.86,0.1%,23.830,0.933,110,1
218,high,1000,100,25,0.1,0.95,1.75,78.08,471.50,20.62,49.22,0.1%,23.324,0.934,148,1
219,high,1000,100,25,0.1,0.97,1.79,77.42,459.62,24.44,52.94,0.1%,24.805,0.931,149,1
220,high,1000,100,25,0.1,0.85,1.70,78.03,463.65,24.34,49.92,0.1%,23.965,0.931,113,1
221,high,1000,100,25,0.1,0.91,1.73,79.85,465.89,23.31,48.37,0.1%,25.379,0.924,118,1
222,high,1000,100,25,0.1,0.89,1.54,73.79,467.28,23.46,48.99,0.1%,24.796,0.927,95,1
223,high,1000,100,25,0.1,1.01,1.83,73.13,478.46,23.14,52.74,0.1%,23.069,0.934,118,1
224,high,1000,100,25,0.1,0.86,1.55,80.69,474.76,23.82,53.45,0.1%,23.368,0.941,81,1
225,high,1000,100,25,0.1,0.98,1.73,79.60,472.80,21.85,50.34,0.1%,24.980,0.929,108,1
226,high,1000,100,25,0.1,0.92,1.65,75.64,485.48,22.73,52.66,0.1%,24.499,0.924,144,1
227,high,1000,100,25,0.1,0.86,1.53,80.46,489.71,25.52,52.24,0.1%,23.716,0.932,112,1
228,high,1000,100,25,0.1,0.93,1.67,73.61,452.41,22.49,49.25,0.1%,23.569,0.927,81,1
229,high,1000,100,25,0.1,0.90,1.70,80.91,493.20,24.84,53.96,0.1%,24.416,0.935,130,1
230,high,1000,100,25,0.1,0.92,1.76,74.07,486.46,24.35,50.97,0.2%,24.933,0.932,N/A,0
231,high,1000,100,25,0.1,0.96,1.79,76.21,483.61,22.76,51.50,0.1%,23.981,0.929,146,1
232,high,1000,100,25,0.1,0.87,1.49,79.93,479.34,22.27,52.41,0.1%,25.205,0.939,131,1
233,high,1000,100,25,0.1,0.92,1.55,79.96,478.45,24.25,49.40,0.1%,23.939,0.932,85,1
234,high,1000,100,25,0.1,0.98,1.88,72.77,481.17,24.56,51.57,0.1%,24.865,0.924,141,1
235,high,1000,100,25,0.1,0.99,1.79,79.11,475.71,21.29,46.53,0.2%,24.654,0.920,N/A,0
236,high,1000,100,25,0.1,0.93,1.83,75.91,459.24,20.27,46.38,0.1%,24.668,0.925,111,1
237,high,1000,100,25,0.1,0.91,1.72,80.52,460.26,24.26,53.32,0.1%,25.301,0.928,110,1
